연번,위치주소(지번 비공개),조사년도,빈집유형,주택유형,철거 또는 활용동의,관리부서,데이터기준일자,위도,경도,좌표정확도,읍면,주거적합점수,관광숙박적합점수,추천용도
31,전라남도 담양군 봉산면 대추리,2022,철거형,단독주택,미동의,도시과,2023-05-15,35.2929254738754,126.9635142956,정확(리 단위),봉산면,5.0,25.5,관광·숙박(게스트하우스/카페)
32,전라남도 담양군 봉산면 대추리,2022,활용형,단독주택,동의,도시과,2023-05-15,35.2929254738754,126.9635142956,정확(리 단위),봉산면,5.0,25.5,관광·숙박(게스트하우스/카페)
33,전라남도 담양군 봉산면 대추리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2929254738754,126.9635142956,정확(리 단위),봉산면,5.0,25.5,관광·숙박(게스트하우스/카페)
34,전라남도 담양군 봉산면 대추리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2929254738754,126.9635142956,정확(리 단위),봉산면,5.0,25.5,관광·숙박(게스트하우스/카페)
35,전라남도 담양군 봉산면 대추리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2929254738754,126.9635142956,정확(리 단위),봉산면,5.0,25.5,관광·숙박(게스트하우스/카페)
36,전라남도 담양군 봉산면 대추리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2929254738754,126.9635142956,정확(리 단위),봉산면,5.0,25.5,관광·숙박(게스트하우스/카페)
37,전라남도 담양군 봉산면 대추리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2929254738754,126.9635142956,정확(리 단위),봉산면,5.0,25.5,관광·숙박(게스트하우스/카페)
38,전라남도 담양군 봉산면 대추리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2929254738754,126.9635142956,정확(리 단위),봉산면,5.0,25.5,관광·숙박(게스트하우스/카페)
39,전라남도 담양군 봉산면 대추리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2929254738754,126.9635142956,정확(리 단위),봉산면,5.0,25.5,관광·숙박(게스트하우스/카페)
40,전라남도 담양군 봉산면 제월리,2022,철거형,단독주택,미동의,도시과,2023-05-15,35.2832175421132,126.968144223762,정확(리 단위),봉산면,5.0,25.5,관광·숙박(게스트하우스/카페)
41,전라남도 담양군 봉산면 제월리,2022,철거형,단독주택,미동의,도시과,2023-05-15,35.2832175421132,126.968144223762,정확(리 단위),봉산면,5.0,25.5,관광·숙박(게스트하우스/카페)
42,전라남도 담양군 봉산면 제월리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2832175421132,126.968144223762,정확(리 단위),봉산면,5.0,25.5,관광·숙박(게스트하우스/카페)
43,전라남도 담양군 봉산면 제월리,2022,철거형,단독주택,미동의,도시과,2023-05-15,35.2832175421132,126.968144223762,정확(리 단위),봉산면,5.0,25.5,관광·숙박(게스트하우스/카페)
44,전라남도 담양군 봉산면 제월리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2832175421132,126.968144223762,정확(리 단위),봉산면,5.0,25.5,관광·숙박(게스트하우스/카페)
