연번,위치주소(지번 비공개),조사년도,빈집유형,주택유형,철거 또는 활용동의,관리부서,데이터기준일자,위도,경도,좌표정확도
45,전라남도 담양군 봉산면 제월리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2832175421132,126.968144223762,정확(리 단위)
46,전라남도 담양군 봉산면 제월리 산,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2761980165593,126.956904986794,근사(읍면 단위)
47,전라남도 담양군 봉산면 제월리 산,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2761980165593,126.956904986794,근사(읍면 단위)
48,전라남도 담양군 봉산면 신학리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2736751754828,126.949924813835,정확(리 단위)
49,전라남도 담양군 봉산면 신학리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2736751754828,126.949924813835,정확(리 단위)
50,전라남도 담양군 봉산면 신학리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2736751754828,126.949924813835,정확(리 단위)
51,전라남도 담양군 봉산면 신학리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2736751754828,126.949924813835,정확(리 단위)
52,전라남도 담양군 봉산면 신학리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2736751754828,126.949924813835,정확(리 단위)
53,전라남도 담양군 봉산면 신학리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2736751754828,126.949924813835,정확(리 단위)
54,전라남도 담양군 봉산면 신학리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2736751754828,126.949924813835,정확(리 단위)
55,전라남도 담양군 봉산면 신학리 산,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2761980165593,126.956904986794,근사(읍면 단위)
56,전라남도 담양군 봉산면 기곡리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.270729095636,126.970307675886,정확(리 단위)
57,전라남도 담양군 봉산면 기곡리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.270729095636,126.970307675886,정확(리 단위)
58,전라남도 담양군 봉산면 기곡리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.270729095636,126.970307675886,정확(리 단위)
59,전라남도 담양군 봉산면 기곡리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.270729095636,126.970307675886,정확(리 단위)
60,전라남도 담양군 봉산면 기곡리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.270729095636,126.970307675886,정확(리 단위)
61,전라남도 담양군 봉산면 기곡리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.270729095636,126.970307675886,정확(리 단위)
62,전라남도 담양군 봉산면 기곡리,2022,철거형,단독주택,미동의,도시과,2023-05-15,35.270729095636,126.970307675886,정확(리 단위)
63,전라남도 담양군 봉산면 연동리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2634426256776,126.958094228582,정확(리 단위)
64,전라남도 담양군 봉산면 연동리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2634426256776,126.958094228582,정확(리 단위)
65,전라남도 담양군 봉산면 연동리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2634426256776,126.958094228582,정확(리 단위)
66,전라남도 담양군 봉산면 연동리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2634426256776,126.958094228582,정확(리 단위)
67,전라남도 담양군 봉산면 유산리,2022,철거형,단독주택,미동의,도시과,2023-05-15,35.2547695747645,126.962647927187,정확(리 단위)
