연번,위치주소(지번 비공개),조사년도,빈집유형,주택유형,철거 또는 활용동의,관리부서,데이터기준일자,위도,경도,좌표정확도,읍면,인구수,유동인구수준(추정),유동인구순위(추정),관광명소수,카페밀도,학교수,마트수,편의점수,학교목록,관광명소목록,학교좌표,관광명소좌표,주거점수,카페소품샵점수,게스트하우스펜션점수,식당베이커리점수,1위용도,1위용도근거
112,전라남도 담양군 가사문학면 경상리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.1536285061707,127.043504398435,정확(리 단위),가사문학면,1195,하,11/12위,33,0.11,1,1,0,가사문학초등학교,"외동저수지, 무등산자락무돌길 독수정길, 정골, 무등산자락무돌길 백남정길, 경상저수지",가사문학초등학교|35.1783053209659|127.026900955402,외동저수지|35.18274254312319|127.0430489172781;;무등산자락무돌길 독수정길|35.16637797008737|127.02941725119324;;정골|35.1403463206074|127.042724825052;;무등산자락무돌길 백남정길|35.14856747878027|127.0405781796661;;경상저수지|35.154063405416466|127.04225129279614,0.0,20.8,43.0,20.8,게스트하우스펜션,"게스트하우스펜션 점수가 가장 높습니다 (관광명소 수 33, 공원 수 1 기준)"
113,전라남도 담양군 가사문학면 무동리,2022,철거형,단독주택,미동의,도시과,2023-05-15,35.1386981410942,127.044088988748,정확(리 단위),가사문학면,1195,하,11/12위,33,0.11,1,1,0,가사문학초등학교,"외동저수지, 무등산자락무돌길 독수정길, 정골, 무등산자락무돌길 백남정길, 경상저수지",가사문학초등학교|35.1783053209659|127.026900955402,외동저수지|35.18274254312319|127.0430489172781;;무등산자락무돌길 독수정길|35.16637797008737|127.02941725119324;;정골|35.1403463206074|127.042724825052;;무등산자락무돌길 백남정길|35.14856747878027|127.0405781796661;;경상저수지|35.154063405416466|127.04225129279614,0.0,20.8,43.0,20.8,게스트하우스펜션,"게스트하우스펜션 점수가 가장 높습니다 (관광명소 수 33, 공원 수 1 기준)"
114,전라남도 담양군 가사문학면 무동리,2022,철거형,단독주택,동의,도시과,2023-05-15,35.1386981410942,127.044088988748,정확(리 단위),가사문학면,1195,하,11/12위,33,0.11,1,1,0,가사문학초등학교,"외동저수지, 무등산자락무돌길 독수정길, 정골, 무등산자락무돌길 백남정길, 경상저수지",가사문학초등학교|35.1783053209659|127.026900955402,외동저수지|35.18274254312319|127.0430489172781;;무등산자락무돌길 독수정길|35.16637797008737|127.02941725119324;;정골|35.1403463206074|127.042724825052;;무등산자락무돌길 백남정길|35.14856747878027|127.0405781796661;;경상저수지|35.154063405416466|127.04225129279614,0.0,20.8,43.0,20.8,게스트하우스펜션,"게스트하우스펜션 점수가 가장 높습니다 (관광명소 수 33, 공원 수 1 기준)"
115,전라남도 담양군 가사문학면 구산리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.1355360204812,127.079668722563,정확(리 단위),가사문학면,1195,하,11/12위,33,0.11,1,1,0,가사문학초등학교,"외동저수지, 무등산자락무돌길 독수정길, 정골, 무등산자락무돌길 백남정길, 경상저수지",가사문학초등학교|35.1783053209659|127.026900955402,외동저수지|35.18274254312319|127.0430489172781;;무등산자락무돌길 독수정길|35.16637797008737|127.02941725119324;;정골|35.1403463206074|127.042724825052;;무등산자락무돌길 백남정길|35.14856747878027|127.0405781796661;;경상저수지|35.154063405416466|127.04225129279614,0.0,20.8,43.0,20.8,게스트하우스펜션,"게스트하우스펜션 점수가 가장 높습니다 (관광명소 수 33, 공원 수 1 기준)"
116,전라남도 담양군 가사문학면 구산리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.1355360204812,127.079668722563,정확(리 단위),가사문학면,1195,하,11/12위,33,0.11,1,1,0,가사문학초등학교,"외동저수지, 무등산자락무돌길 독수정길, 정골, 무등산자락무돌길 백남정길, 경상저수지",가사문학초등학교|35.1783053209659|127.026900955402,외동저수지|35.18274254312319|127.0430489172781;;무등산자락무돌길 독수정길|35.16637797008737|127.02941725119324;;정골|35.1403463206074|127.042724825052;;무등산자락무돌길 백남정길|35.14856747878027|127.0405781796661;;경상저수지|35.154063405416466|127.04225129279614,0.0,20.8,43.0,20.8,게스트하우스펜션,"게스트하우스펜션 점수가 가장 높습니다 (관광명소 수 33, 공원 수 1 기준)"
117,전라남도 담양군 가사문학면 구산리,2022,철거형,단독주택,미동의,도시과,2023-05-15,35.1355360204812,127.079668722563,정확(리 단위),가사문학면,1195,하,11/12위,33,0.11,1,1,0,가사문학초등학교,"외동저수지, 무등산자락무돌길 독수정길, 정골, 무등산자락무돌길 백남정길, 경상저수지",가사문학초등학교|35.1783053209659|127.026900955402,외동저수지|35.18274254312319|127.0430489172781;;무등산자락무돌길 독수정길|35.16637797008737|127.02941725119324;;정골|35.1403463206074|127.042724825052;;무등산자락무돌길 백남정길|35.14856747878027|127.0405781796661;;경상저수지|35.154063405416466|127.04225129279614,0.0,20.8,43.0,20.8,게스트하우스펜션,"게스트하우스펜션 점수가 가장 높습니다 (관광명소 수 33, 공원 수 1 기준)"
118,전라남도 담양군 가사문학면 가암리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.1605502160781,127.061789379142,정확(리 단위),가사문학면,1195,하,11/12위,33,0.11,1,1,0,가사문학초등학교,"외동저수지, 무등산자락무돌길 독수정길, 정골, 무등산자락무돌길 백남정길, 경상저수지",가사문학초등학교|35.1783053209659|127.026900955402,외동저수지|35.18274254312319|127.0430489172781;;무등산자락무돌길 독수정길|35.16637797008737|127.02941725119324;;정골|35.1403463206074|127.042724825052;;무등산자락무돌길 백남정길|35.14856747878027|127.0405781796661;;경상저수지|35.154063405416466|127.04225129279614,0.0,20.8,43.0,20.8,게스트하우스펜션,"게스트하우스펜션 점수가 가장 높습니다 (관광명소 수 33, 공원 수 1 기준)"
119,전라남도 담양군 가사문학면 가암리,2022,활용형,단독주택,동의,도시과,2023-05-15,35.1605502160781,127.061789379142,정확(리 단위),가사문학면,1195,하,11/12위,33,0.11,1,1,0,가사문학초등학교,"외동저수지, 무등산자락무돌길 독수정길, 정골, 무등산자락무돌길 백남정길, 경상저수지",가사문학초등학교|35.1783053209659|127.026900955402,외동저수지|35.18274254312319|127.0430489172781;;무등산자락무돌길 독수정길|35.16637797008737|127.02941725119324;;정골|35.1403463206074|127.042724825052;;무등산자락무돌길 백남정길|35.14856747878027|127.0405781796661;;경상저수지|35.154063405416466|127.04225129279614,0.0,20.8,43.0,20.8,게스트하우스펜션,"게스트하우스펜션 점수가 가장 높습니다 (관광명소 수 33, 공원 수 1 기준)"
120,전라남도 담양군 가사문학면 가암리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.1605502160781,127.061789379142,정확(리 단위),가사문학면,1195,하,11/12위,33,0.11,1,1,0,가사문학초등학교,"외동저수지, 무등산자락무돌길 독수정길, 정골, 무등산자락무돌길 백남정길, 경상저수지",가사문학초등학교|35.1783053209659|127.026900955402,외동저수지|35.18274254312319|127.0430489172781;;무등산자락무돌길 독수정길|35.16637797008737|127.02941725119324;;정골|35.1403463206074|127.042724825052;;무등산자락무돌길 백남정길|35.14856747878027|127.0405781796661;;경상저수지|35.154063405416466|127.04225129279614,0.0,20.8,43.0,20.8,게스트하우스펜션,"게스트하우스펜션 점수가 가장 높습니다 (관광명소 수 33, 공원 수 1 기준)"
121,전라남도 담양군 가사문학면 풍암리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.1792121998184,127.053661983989,정확(리 단위),가사문학면,1195,하,11/12위,33,0.11,1,1,0,가사문학초등학교,"외동저수지, 무등산자락무돌길 독수정길, 정골, 무등산자락무돌길 백남정길, 경상저수지",가사문학초등학교|35.1783053209659|127.026900955402,외동저수지|35.18274254312319|127.0430489172781;;무등산자락무돌길 독수정길|35.16637797008737|127.02941725119324;;정골|35.1403463206074|127.042724825052;;무등산자락무돌길 백남정길|35.14856747878027|127.0405781796661;;경상저수지|35.154063405416466|127.04225129279614,0.0,20.8,43.0,20.8,게스트하우스펜션,"게스트하우스펜션 점수가 가장 높습니다 (관광명소 수 33, 공원 수 1 기준)"
122,전라남도 담양군 가사문학면 풍암리,2022,철거형,단독주택,미동의,도시과,2023-05-15,35.1792121998184,127.053661983989,정확(리 단위),가사문학면,1195,하,11/12위,33,0.11,1,1,0,가사문학초등학교,"외동저수지, 무등산자락무돌길 독수정길, 정골, 무등산자락무돌길 백남정길, 경상저수지",가사문학초등학교|35.1783053209659|127.026900955402,외동저수지|35.18274254312319|127.0430489172781;;무등산자락무돌길 독수정길|35.16637797008737|127.02941725119324;;정골|35.1403463206074|127.042724825052;;무등산자락무돌길 백남정길|35.14856747878027|127.0405781796661;;경상저수지|35.154063405416466|127.04225129279614,0.0,20.8,43.0,20.8,게스트하우스펜션,"게스트하우스펜션 점수가 가장 높습니다 (관광명소 수 33, 공원 수 1 기준)"
123,전라남도 담양군 가사문학면 풍암리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.1792121998184,127.053661983989,정확(리 단위),가사문학면,1195,하,11/12위,33,0.11,1,1,0,가사문학초등학교,"외동저수지, 무등산자락무돌길 독수정길, 정골, 무등산자락무돌길 백남정길, 경상저수지",가사문학초등학교|35.1783053209659|127.026900955402,외동저수지|35.18274254312319|127.0430489172781;;무등산자락무돌길 독수정길|35.16637797008737|127.02941725119324;;정골|35.1403463206074|127.042724825052;;무등산자락무돌길 백남정길|35.14856747878027|127.0405781796661;;경상저수지|35.154063405416466|127.04225129279614,0.0,20.8,43.0,20.8,게스트하우스펜션,"게스트하우스펜션 점수가 가장 높습니다 (관광명소 수 33, 공원 수 1 기준)"
124,전라남도 담양군 창평면 창평리,2022,철거형,단독주택,미동의,도시과,2023-05-15,35.2370182061332,127.012058337755,정확(리 단위),창평면,3686,중,8/12위,36,0.67,4,1,2,"창평고등학교, 창평중학교, 창평초등학교, 담양고서중학교","창평국밥거리, 월동제, 교산제, 유천제, 용운제",창평고등학교|35.2376240133674|127.010994965527;;창평중학교|35.2408793949529|127.013794794516;;창평초등학교|35.2407453290116|127.018751924552;;담양고서중학교|35.2233379836344|126.978281939279,창평국밥거리|35.2381932715594|127.014704001457;;월동제|35.23314255177396|127.03768051234397;;교산제|35.2195878226868|126.9870897054264;;유천제|35.21333550359004|127.02274669107864;;용운제|35.22455609152254|127.03537860324023,19.4,31.2,47.9,29.5,게스트하우스펜션,"게스트하우스펜션 점수가 가장 높습니다 (관광명소 수 36, 공원 수 3 기준)"
125,전라남도 담양군 창평면 삼천리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2397996206605,127.024838211093,정확(리 단위),창평면,3686,중,8/12위,36,0.67,4,1,2,"창평고등학교, 창평중학교, 창평초등학교, 담양고서중학교","창평국밥거리, 월동제, 교산제, 유천제, 용운제",창평고등학교|35.2376240133674|127.010994965527;;창평중학교|35.2408793949529|127.013794794516;;창평초등학교|35.2407453290116|127.018751924552;;담양고서중학교|35.2233379836344|126.978281939279,창평국밥거리|35.2381932715594|127.014704001457;;월동제|35.23314255177396|127.03768051234397;;교산제|35.2195878226868|126.9870897054264;;유천제|35.21333550359004|127.02274669107864;;용운제|35.22455609152254|127.03537860324023,19.4,31.2,47.9,29.5,게스트하우스펜션,"게스트하우스펜션 점수가 가장 높습니다 (관광명소 수 36, 공원 수 3 기준)"
126,전라남도 담양군 창평면 삼천리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2397996206605,127.024838211093,정확(리 단위),창평면,3686,중,8/12위,36,0.67,4,1,2,"창평고등학교, 창평중학교, 창평초등학교, 담양고서중학교","창평국밥거리, 월동제, 교산제, 유천제, 용운제",창평고등학교|35.2376240133674|127.010994965527;;창평중학교|35.2408793949529|127.013794794516;;창평초등학교|35.2407453290116|127.018751924552;;담양고서중학교|35.2233379836344|126.978281939279,창평국밥거리|35.2381932715594|127.014704001457;;월동제|35.23314255177396|127.03768051234397;;교산제|35.2195878226868|126.9870897054264;;유천제|35.21333550359004|127.02274669107864;;용운제|35.22455609152254|127.03537860324023,19.4,31.2,47.9,29.5,게스트하우스펜션,"게스트하우스펜션 점수가 가장 높습니다 (관광명소 수 36, 공원 수 3 기준)"
127,전라남도 담양군 창평면 용수리,2022,철거형,단독주택,미동의,도시과,2023-05-15,35.2290135084429,127.034536888919,정확(리 단위),창평면,3686,중,8/12위,36,0.67,4,1,2,"창평고등학교, 창평중학교, 창평초등학교, 담양고서중학교","창평국밥거리, 월동제, 교산제, 유천제, 용운제",창평고등학교|35.2376240133674|127.010994965527;;창평중학교|35.2408793949529|127.013794794516;;창평초등학교|35.2407453290116|127.018751924552;;담양고서중학교|35.2233379836344|126.978281939279,창평국밥거리|35.2381932715594|127.014704001457;;월동제|35.23314255177396|127.03768051234397;;교산제|35.2195878226868|126.9870897054264;;유천제|35.21333550359004|127.02274669107864;;용운제|35.22455609152254|127.03537860324023,19.4,31.2,47.9,29.5,게스트하우스펜션,"게스트하우스펜션 점수가 가장 높습니다 (관광명소 수 36, 공원 수 3 기준)"
128,전라남도 담양군 창평면 유천리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2184776388612,127.023135846536,정확(리 단위),창평면,3686,중,8/12위,36,0.67,4,1,2,"창평고등학교, 창평중학교, 창평초등학교, 담양고서중학교","창평국밥거리, 월동제, 교산제, 유천제, 용운제",창평고등학교|35.2376240133674|127.010994965527;;창평중학교|35.2408793949529|127.013794794516;;창평초등학교|35.2407453290116|127.018751924552;;담양고서중학교|35.2233379836344|126.978281939279,창평국밥거리|35.2381932715594|127.014704001457;;월동제|35.23314255177396|127.03768051234397;;교산제|35.2195878226868|126.9870897054264;;유천제|35.21333550359004|127.02274669107864;;용운제|35.22455609152254|127.03537860324023,19.4,31.2,47.9,29.5,게스트하우스펜션,"게스트하우스펜션 점수가 가장 높습니다 (관광명소 수 36, 공원 수 3 기준)"
129,전라남도 담양군 창평면 오강리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2173438729177,127.008149714943,정확(리 단위),창평면,3686,중,8/12위,36,0.67,4,1,2,"창평고등학교, 창평중학교, 창평초등학교, 담양고서중학교","창평국밥거리, 월동제, 교산제, 유천제, 용운제",창평고등학교|35.2376240133674|127.010994965527;;창평중학교|35.2408793949529|127.013794794516;;창평초등학교|35.2407453290116|127.018751924552;;담양고서중학교|35.2233379836344|126.978281939279,창평국밥거리|35.2381932715594|127.014704001457;;월동제|35.23314255177396|127.03768051234397;;교산제|35.2195878226868|126.9870897054264;;유천제|35.21333550359004|127.02274669107864;;용운제|35.22455609152254|127.03537860324023,19.4,31.2,47.9,29.5,게스트하우스펜션,"게스트하우스펜션 점수가 가장 높습니다 (관광명소 수 36, 공원 수 3 기준)"
130,전라남도 담양군 창평면 오강리,2022,철거형,단독주택,미동의,도시과,2023-05-15,35.2173438729177,127.008149714943,정확(리 단위),창평면,3686,중,8/12위,36,0.67,4,1,2,"창평고등학교, 창평중학교, 창평초등학교, 담양고서중학교","창평국밥거리, 월동제, 교산제, 유천제, 용운제",창평고등학교|35.2376240133674|127.010994965527;;창평중학교|35.2408793949529|127.013794794516;;창평초등학교|35.2407453290116|127.018751924552;;담양고서중학교|35.2233379836344|126.978281939279,창평국밥거리|35.2381932715594|127.014704001457;;월동제|35.23314255177396|127.03768051234397;;교산제|35.2195878226868|126.9870897054264;;유천제|35.21333550359004|127.02274669107864;;용운제|35.22455609152254|127.03537860324023,19.4,31.2,47.9,29.5,게스트하우스펜션,"게스트하우스펜션 점수가 가장 높습니다 (관광명소 수 36, 공원 수 3 기준)"
131,전라남도 담양군 창평면 오강리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2173438729177,127.008149714943,정확(리 단위),창평면,3686,중,8/12위,36,0.67,4,1,2,"창평고등학교, 창평중학교, 창평초등학교, 담양고서중학교","창평국밥거리, 월동제, 교산제, 유천제, 용운제",창평고등학교|35.2376240133674|127.010994965527;;창평중학교|35.2408793949529|127.013794794516;;창평초등학교|35.2407453290116|127.018751924552;;담양고서중학교|35.2233379836344|126.978281939279,창평국밥거리|35.2381932715594|127.014704001457;;월동제|35.23314255177396|127.03768051234397;;교산제|35.2195878226868|126.9870897054264;;유천제|35.21333550359004|127.02274669107864;;용운제|35.22455609152254|127.03537860324023,19.4,31.2,47.9,29.5,게스트하우스펜션,"게스트하우스펜션 점수가 가장 높습니다 (관광명소 수 36, 공원 수 3 기준)"
132,전라남도 담양군 창평면 오강리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2173438729177,127.008149714943,정확(리 단위),창평면,3686,중,8/12위,36,0.67,4,1,2,"창평고등학교, 창평중학교, 창평초등학교, 담양고서중학교","창평국밥거리, 월동제, 교산제, 유천제, 용운제",창평고등학교|35.2376240133674|127.010994965527;;창평중학교|35.2408793949529|127.013794794516;;창평초등학교|35.2407453290116|127.018751924552;;담양고서중학교|35.2233379836344|126.978281939279,창평국밥거리|35.2381932715594|127.014704001457;;월동제|35.23314255177396|127.03768051234397;;교산제|35.2195878226868|126.9870897054264;;유천제|35.21333550359004|127.02274669107864;;용운제|35.22455609152254|127.03537860324023,19.4,31.2,47.9,29.5,게스트하우스펜션,"게스트하우스펜션 점수가 가장 높습니다 (관광명소 수 36, 공원 수 3 기준)"
133,전라남도 담양군 창평면 오강리,2022,활용형,단독주택,동의,도시과,2023-05-15,35.2173438729177,127.008149714943,정확(리 단위),창평면,3686,중,8/12위,36,0.67,4,1,2,"창평고등학교, 창평중학교, 창평초등학교, 담양고서중학교","창평국밥거리, 월동제, 교산제, 유천제, 용운제",창평고등학교|35.2376240133674|127.010994965527;;창평중학교|35.2408793949529|127.013794794516;;창평초등학교|35.2407453290116|127.018751924552;;담양고서중학교|35.2233379836344|126.978281939279,창평국밥거리|35.2381932715594|127.014704001457;;월동제|35.23314255177396|127.03768051234397;;교산제|35.2195878226868|126.9870897054264;;유천제|35.21333550359004|127.02274669107864;;용운제|35.22455609152254|127.03537860324023,19.4,31.2,47.9,29.5,게스트하우스펜션,"게스트하우스펜션 점수가 가장 높습니다 (관광명소 수 36, 공원 수 3 기준)"
134,전라남도 담양군 창평면 유곡리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.250217573419,126.988344061911,정확(리 단위),창평면,3686,중,8/12위,36,0.67,4,1,2,"창평고등학교, 창평중학교, 창평초등학교, 담양고서중학교","창평국밥거리, 월동제, 교산제, 유천제, 용운제",창평고등학교|35.2376240133674|127.010994965527;;창평중학교|35.2408793949529|127.013794794516;;창평초등학교|35.2407453290116|127.018751924552;;담양고서중학교|35.2233379836344|126.978281939279,창평국밥거리|35.2381932715594|127.014704001457;;월동제|35.23314255177396|127.03768051234397;;교산제|35.2195878226868|126.9870897054264;;유천제|35.21333550359004|127.02274669107864;;용운제|35.22455609152254|127.03537860324023,19.4,31.2,47.9,29.5,게스트하우스펜션,"게스트하우스펜션 점수가 가장 높습니다 (관광명소 수 36, 공원 수 3 기준)"
135,전라남도 담양군 창평면 유곡리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.250217573419,126.988344061911,정확(리 단위),창평면,3686,중,8/12위,36,0.67,4,1,2,"창평고등학교, 창평중학교, 창평초등학교, 담양고서중학교","창평국밥거리, 월동제, 교산제, 유천제, 용운제",창평고등학교|35.2376240133674|127.010994965527;;창평중학교|35.2408793949529|127.013794794516;;창평초등학교|35.2407453290116|127.018751924552;;담양고서중학교|35.2233379836344|126.978281939279,창평국밥거리|35.2381932715594|127.014704001457;;월동제|35.23314255177396|127.03768051234397;;교산제|35.2195878226868|126.9870897054264;;유천제|35.21333550359004|127.02274669107864;;용운제|35.22455609152254|127.03537860324023,19.4,31.2,47.9,29.5,게스트하우스펜션,"게스트하우스펜션 점수가 가장 높습니다 (관광명소 수 36, 공원 수 3 기준)"
136,전라남도 담양군 창평면 유곡리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.250217573419,126.988344061911,정확(리 단위),창평면,3686,중,8/12위,36,0.67,4,1,2,"창평고등학교, 창평중학교, 창평초등학교, 담양고서중학교","창평국밥거리, 월동제, 교산제, 유천제, 용운제",창평고등학교|35.2376240133674|127.010994965527;;창평중학교|35.2408793949529|127.013794794516;;창평초등학교|35.2407453290116|127.018751924552;;담양고서중학교|35.2233379836344|126.978281939279,창평국밥거리|35.2381932715594|127.014704001457;;월동제|35.23314255177396|127.03768051234397;;교산제|35.2195878226868|126.9870897054264;;유천제|35.21333550359004|127.02274669107864;;용운제|35.22455609152254|127.03537860324023,19.4,31.2,47.9,29.5,게스트하우스펜션,"게스트하우스펜션 점수가 가장 높습니다 (관광명소 수 36, 공원 수 3 기준)"
137,전라남도 담양군 창평면 해곡리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2486400715294,126.975352475831,정확(리 단위),창평면,3686,중,8/12위,36,0.67,4,1,2,"창평고등학교, 창평중학교, 창평초등학교, 담양고서중학교","창평국밥거리, 월동제, 교산제, 유천제, 용운제",창평고등학교|35.2376240133674|127.010994965527;;창평중학교|35.2408793949529|127.013794794516;;창평초등학교|35.2407453290116|127.018751924552;;담양고서중학교|35.2233379836344|126.978281939279,창평국밥거리|35.2381932715594|127.014704001457;;월동제|35.23314255177396|127.03768051234397;;교산제|35.2195878226868|126.9870897054264;;유천제|35.21333550359004|127.02274669107864;;용운제|35.22455609152254|127.03537860324023,19.4,31.2,47.9,29.5,게스트하우스펜션,"게스트하우스펜션 점수가 가장 높습니다 (관광명소 수 36, 공원 수 3 기준)"
138,전라남도 담양군 창평면 광덕리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2712085761289,126.995823530569,정확(리 단위),창평면,3686,중,8/12위,36,0.67,4,1,2,"창평고등학교, 창평중학교, 창평초등학교, 담양고서중학교","창평국밥거리, 월동제, 교산제, 유천제, 용운제",창평고등학교|35.2376240133674|127.010994965527;;창평중학교|35.2408793949529|127.013794794516;;창평초등학교|35.2407453290116|127.018751924552;;담양고서중학교|35.2233379836344|126.978281939279,창평국밥거리|35.2381932715594|127.014704001457;;월동제|35.23314255177396|127.03768051234397;;교산제|35.2195878226868|126.9870897054264;;유천제|35.21333550359004|127.02274669107864;;용운제|35.22455609152254|127.03537860324023,19.4,31.2,47.9,29.5,게스트하우스펜션,"게스트하우스펜션 점수가 가장 높습니다 (관광명소 수 36, 공원 수 3 기준)"
139,전라남도 담양군 창평면 광덕리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2712085761289,126.995823530569,정확(리 단위),창평면,3686,중,8/12위,36,0.67,4,1,2,"창평고등학교, 창평중학교, 창평초등학교, 담양고서중학교","창평국밥거리, 월동제, 교산제, 유천제, 용운제",창평고등학교|35.2376240133674|127.010994965527;;창평중학교|35.2408793949529|127.013794794516;;창평초등학교|35.2407453290116|127.018751924552;;담양고서중학교|35.2233379836344|126.978281939279,창평국밥거리|35.2381932715594|127.014704001457;;월동제|35.23314255177396|127.03768051234397;;교산제|35.2195878226868|126.9870897054264;;유천제|35.21333550359004|127.02274669107864;;용운제|35.22455609152254|127.03537860324023,19.4,31.2,47.9,29.5,게스트하우스펜션,"게스트하우스펜션 점수가 가장 높습니다 (관광명소 수 36, 공원 수 3 기준)"
140,전라남도 담양군 창평면 외동리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.1986861568321,127.029525527198,정확(리 단위),창평면,3686,중,8/12위,36,0.67,4,1,2,"창평고등학교, 창평중학교, 창평초등학교, 담양고서중학교","창평국밥거리, 월동제, 교산제, 유천제, 용운제",창평고등학교|35.2376240133674|127.010994965527;;창평중학교|35.2408793949529|127.013794794516;;창평초등학교|35.2407453290116|127.018751924552;;담양고서중학교|35.2233379836344|126.978281939279,창평국밥거리|35.2381932715594|127.014704001457;;월동제|35.23314255177396|127.03768051234397;;교산제|35.2195878226868|126.9870897054264;;유천제|35.21333550359004|127.02274669107864;;용운제|35.22455609152254|127.03537860324023,19.4,31.2,47.9,29.5,게스트하우스펜션,"게스트하우스펜션 점수가 가장 높습니다 (관광명소 수 36, 공원 수 3 기준)"
141,전라남도 담양군 창평면 외동리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.1986861568321,127.029525527198,정확(리 단위),창평면,3686,중,8/12위,36,0.67,4,1,2,"창평고등학교, 창평중학교, 창평초등학교, 담양고서중학교","창평국밥거리, 월동제, 교산제, 유천제, 용운제",창평고등학교|35.2376240133674|127.010994965527;;창평중학교|35.2408793949529|127.013794794516;;창평초등학교|35.2407453290116|127.018751924552;;담양고서중학교|35.2233379836344|126.978281939279,창평국밥거리|35.2381932715594|127.014704001457;;월동제|35.23314255177396|127.03768051234397;;교산제|35.2195878226868|126.9870897054264;;유천제|35.21333550359004|127.02274669107864;;용운제|35.22455609152254|127.03537860324023,19.4,31.2,47.9,29.5,게스트하우스펜션,"게스트하우스펜션 점수가 가장 높습니다 (관광명소 수 36, 공원 수 3 기준)"
142,전라남도 담양군 대덕면 매산리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2508952980381,127.032089257512,정확(리 단위),대덕면,1870,중,7/12위,44,0.39,2,1,0,"만덕초등학교, 창평초등학교","운암저수지, 월동제, 만덕산, 용운제, 월봉산",만덕초등학교|35.2493439710139|127.035701420655;;창평초등학교|35.2407453290116|127.018751924552,운암저수지|35.24466329996896|127.04129950662733;;월동제|35.23314255177396|127.03768051234397;;만덕산|35.23406379572136|127.0598830283704;;용운제|35.22455609152254|127.03537860324023;;월봉산|35.22544406390878|127.04571653339117,5.5,35.4,50.5,33.7,게스트하우스펜션,"게스트하우스펜션 점수가 가장 높습니다 (관광명소 수 44, 공원 수 1 기준)"
143,전라남도 담양군 대덕면 매산리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2508952980381,127.032089257512,정확(리 단위),대덕면,1870,중,7/12위,44,0.39,2,1,0,"만덕초등학교, 창평초등학교","운암저수지, 월동제, 만덕산, 용운제, 월봉산",만덕초등학교|35.2493439710139|127.035701420655;;창평초등학교|35.2407453290116|127.018751924552,운암저수지|35.24466329996896|127.04129950662733;;월동제|35.23314255177396|127.03768051234397;;만덕산|35.23406379572136|127.0598830283704;;용운제|35.22455609152254|127.03537860324023;;월봉산|35.22544406390878|127.04571653339117,5.5,35.4,50.5,33.7,게스트하우스펜션,"게스트하우스펜션 점수가 가장 높습니다 (관광명소 수 44, 공원 수 1 기준)"
144,전라남도 담양군 대덕면 매산리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2508952980381,127.032089257512,정확(리 단위),대덕면,1870,중,7/12위,44,0.39,2,1,0,"만덕초등학교, 창평초등학교","운암저수지, 월동제, 만덕산, 용운제, 월봉산",만덕초등학교|35.2493439710139|127.035701420655;;창평초등학교|35.2407453290116|127.018751924552,운암저수지|35.24466329996896|127.04129950662733;;월동제|35.23314255177396|127.03768051234397;;만덕산|35.23406379572136|127.0598830283704;;용운제|35.22455609152254|127.03537860324023;;월봉산|35.22544406390878|127.04571653339117,5.5,35.4,50.5,33.7,게스트하우스펜션,"게스트하우스펜션 점수가 가장 높습니다 (관광명소 수 44, 공원 수 1 기준)"
145,전라남도 담양군 대덕면 매산리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2508952980381,127.032089257512,정확(리 단위),대덕면,1870,중,7/12위,44,0.39,2,1,0,"만덕초등학교, 창평초등학교","운암저수지, 월동제, 만덕산, 용운제, 월봉산",만덕초등학교|35.2493439710139|127.035701420655;;창평초등학교|35.2407453290116|127.018751924552,운암저수지|35.24466329996896|127.04129950662733;;월동제|35.23314255177396|127.03768051234397;;만덕산|35.23406379572136|127.0598830283704;;용운제|35.22455609152254|127.03537860324023;;월봉산|35.22544406390878|127.04571653339117,5.5,35.4,50.5,33.7,게스트하우스펜션,"게스트하우스펜션 점수가 가장 높습니다 (관광명소 수 44, 공원 수 1 기준)"
